num_ubers,num_cummters,total_Uber_naive_cost,total_Uber_scheduled_cost,total_Uber_distance,total_Uber_energy,total_Uber_naive_energy_charged,total_Uber_scheduled_energy_charged,total_Uber_naive_time_plugged_in,total_Uber_scheduled_time_plugged_in,total_Commuter_naive_cost,total_Commuter_scheduled_cost,total_Commuter_distance,total_Commuter_energy,total_Commuter_naive_energy_charged,total_Commuter_scheduled_energy_charged,total_Commuter_naive_time_plugged_in,total_Commuter_scheduled_time_plugged_in
9.500000000000000000e+01,9.050000000000000000e+02,1.956506833166837680e+02,6.553914535509227335e+01,4.592567394857194158e+05,2.139645059444448634e+03,1.713315554326263737e+03,4.263295051181852955e+02,1.609071362958238751e+02,1.050000000000000000e+03,3.961151765665690050e+02,3.738683837401462711e+02,3.104505601544580259e+03,5.086237836112853984e+03,2.303596671694017459e+03,2.782641164418837889e+03,1.983004564783692842e+02,1.105700000000000000e+04
9.900000000000000000e+01,9.010000000000000000e+02,2.734832856849081963e+02,5.299959410905820789e+01,4.017193460026368848e+05,2.448636678557429150e+03,1.983094196274643764e+03,4.655424822827870912e+02,1.824198002297834194e+02,2.223000000000000000e+03,4.460751405542587804e+02,3.028715516411651265e+02,1.382507239079397550e+03,3.778066132590084635e+03,2.025468849715437955e+03,1.752597282874646226e+03,2.029372637551215917e+02,5.713000000000000000e+03
9.800000000000000000e+01,9.020000000000000000e+02,2.599625011557149037e+02,7.146949608330022841e+01,4.344830499345622957e+05,2.220109331280884362e+03,1.844573146571552797e+03,3.755361847093312804e+02,1.752261664864175543e+02,1.231000000000000000e+03,3.096877239965543254e+02,3.695878910554242793e+02,1.480055501872079958e+03,3.208902320581793447e+03,1.495774838477685762e+03,1.713127482104107003e+03,1.358841868701556450e+02,4.647000000000000000e+03
1.090000000000000000e+02,8.910000000000000000e+02,2.797529691931436560e+02,2.681434252960969999e+01,4.412726141822417849e+05,2.408477925220442103e+03,2.150124175626439410e+03,2.583537495940020108e+02,1.961614361350460172e+02,1.076000000000000000e+03,4.646085080602565540e+02,2.717484627062220284e+02,1.638406545212903666e+03,3.717700275639003848e+03,2.111708908519555280e+03,1.605991367119448569e+03,2.128248260291151723e+02,3.847000000000000000e+03
1.040000000000000000e+02,8.960000000000000000e+02,2.749105994786803535e+02,3.977332169802889439e+01,5.071425247989218333e+05,2.414148756215318372e+03,2.121964210211727732e+03,2.921845460035899009e+02,1.941896489382992286e+02,1.869000000000000000e+03,3.777177204386768494e+02,3.346935739870369844e+02,1.705800483378041918e+03,4.120125707381943357e+03,2.053640102256279988e+03,2.066485605125663369e+03,1.788243430865370840e+02,8.122000000000000000e+03
9.400000000000000000e+01,9.060000000000000000e+02,2.456099351788433864e+02,6.793066921245890910e+01,4.739622441594583797e+05,2.149673866481270124e+03,1.703160064941853989e+03,4.465138015394163062e+02,1.540391101153718409e+02,1.909000000000000000e+03,3.621388366604209068e+02,3.411826191706611553e+02,1.646370176897970623e+03,3.789761156765792748e+03,1.808102374131910892e+03,1.981658782633881401e+03,1.888742882263301794e+02,8.379000000000000000e+03
1.220000000000000000e+02,8.780000000000000000e+02,3.294606820254663830e+02,4.307228587792111085e+01,5.376424104188649217e+05,2.855921316011973886e+03,2.510704776858433434e+03,3.452165391535403955e+02,2.382247407336737126e+02,7.550000000000000000e+02,4.485926628597500212e+02,3.470515959593693083e+02,2.430069641865659833e+03,4.461296843976039781e+03,2.171883598238587183e+03,2.289413245737451689e+03,2.102465244825571915e+02,1.155600000000000000e+04
1.220000000000000000e+02,8.780000000000000000e+02,2.665563587078976866e+02,4.984851540442464568e+01,5.008039240876863478e+05,2.961156015245557683e+03,2.367655047518342144e+03,5.935009677272132649e+02,2.173806270766836803e+02,2.243000000000000000e+03,3.010852302440690664e+02,3.773628543563768289e+02,1.648399345190624899e+03,3.970151049134507957e+03,1.636654404361389652e+03,2.333496644773118533e+03,1.744008520534765978e+02,1.077300000000000000e+04
9.600000000000000000e+01,9.040000000000000000e+02,1.805740227134674853e+02,5.245736608387215938e+01,4.816844033251542714e+05,2.168693119412734632e+03,1.710960772338976994e+03,4.577323470737576940e+02,1.521919401639879652e+02,1.615000000000000000e+03,3.894991838274528959e+02,2.652969192838056642e+02,2.139618260827808172e+03,4.053250015808804164e+03,1.874131437008594048e+03,2.179118578800208525e+03,1.725709508161815222e+02,1.230500000000000000e+04
9.500000000000000000e+01,9.050000000000000000e+02,3.111357782510662560e+02,3.572437965679447558e+01,4.463091720728169312e+05,2.443830744223518650e+03,2.166046834490957735e+03,2.777839097325611419e+02,2.046225887010733686e+02,5.660000000000000000e+02,3.529920712467362023e+02,4.839900203732232171e+02,2.625563238928419196e+03,4.456561324178775976e+03,1.741977578653099044e+03,2.714583745525676022e+03,1.696966102947982620e+02,1.090200000000000000e+04
9.200000000000000000e+01,9.080000000000000000e+02,2.335344751230902887e+02,1.642036293814304315e+01,4.424931302345217555e+05,2.150536168245295357e+03,1.942766364481756455e+03,2.077698037635392154e+02,1.696796826127832105e+02,8.010000000000000000e+02,3.486098398003748571e+02,3.532593588239501514e+02,2.050654966062218136e+03,4.423464771813566585e+03,2.232541768803476316e+03,2.190923003010088451e+03,2.080409042805171964e+02,9.570000000000000000e+03
1.250000000000000000e+02,8.750000000000000000e+02,2.394966486447609668e+02,6.373297025016116635e+01,4.941630094000137760e+05,2.770106521535943102e+03,2.099691688025383428e+03,6.704148335105600154e+02,1.987649093238393050e+02,4.007000000000000000e+03,3.870740880672334470e+02,2.607695565532939668e+02,1.858951668572157814e+03,3.828951120833695313e+03,1.885400633075886390e+03,1.943550487757809151e+03,1.852325263903787800e+02,8.499000000000000000e+03
8.700000000000000000e+01,9.130000000000000000e+02,2.220515246016701667e+02,6.401566153298513484e+01,4.945662709649264580e+05,2.117358786483444874e+03,1.744854526081022186e+03,3.725042604024230286e+02,1.623333549908482212e+02,1.297000000000000000e+03,4.245348265950640894e+02,3.359565995158632745e+02,2.344625658059681882e+03,4.219662529389198426e+03,2.148046348866172139e+03,2.071616180523028106e+03,1.992809853533767637e+02,8.075000000000000000e+03
1.100000000000000000e+02,8.900000000000000000e+02,2.477207099265391435e+02,5.842030560012280205e+01,4.740011678656153963e+05,2.564233604651497444e+03,2.089111879945552573e+03,4.751217247059455531e+02,1.936997011165437357e+02,1.050000000000000000e+03,3.482137613624201435e+02,3.578468007755451481e+02,1.493952225047769389e+03,4.107015857095524552e+03,1.759392978308918828e+03,2.347622878786603451e+03,1.745072659636005881e+02,9.104000000000000000e+03
9.600000000000000000e+01,9.040000000000000000e+02,1.785539999015646231e+02,3.710167853207894240e+01,4.479827039599628770e+05,2.012000071437865472e+03,1.555209356644885020e+03,4.567907147929805092e+02,1.346165399720119069e+02,2.735000000000000000e+03,4.357112370041069198e+02,2.775097806280628561e+02,1.907241582025767684e+03,4.223701565181550905e+03,2.248967208622655107e+03,1.974734356558896479e+03,2.065504172949411554e+02,7.049000000000000000e+03
1.100000000000000000e+02,8.900000000000000000e+02,2.353477957586428886e+02,3.875138136518263110e+01,4.170264637533951318e+05,2.388885366684981818e+03,1.976142913553935841e+03,4.127424531310458633e+02,1.816952804759677349e+02,2.114000000000000000e+03,4.835156373708810520e+02,4.208391112698167262e+02,1.957321242111986749e+03,5.022268048915741019e+03,2.442752462588232447e+03,2.579515586327500387e+03,2.263313967540171348e+02,1.136600000000000000e+04
1.160000000000000000e+02,8.840000000000000000e+02,2.162734631106561665e+02,4.011498280042948750e+01,4.557155220006504678e+05,2.428881150967884878e+03,2.072247753984875089e+03,3.566333969830088222e+02,1.869882240492738958e+02,1.490000000000000000e+03,3.880367211350910566e+02,3.537467081121058641e+02,2.304054173253597583e+03,4.289773400568788020e+03,1.963204672533114035e+03,2.326568728035669665e+03,1.916281434440934106e+02,8.720000000000000000e+03
8.800000000000000000e+01,9.120000000000000000e+02,1.700303667503176257e+02,9.378256015791338029e+01,3.786153583095977083e+05,2.164347926767763511e+03,1.522146329992837082e+03,6.422015967749276797e+02,1.354645193519583017e+02,9.880000000000000000e+02,3.937024554890788863e+02,3.288708179660146129e+02,2.973630556643297950e+03,3.721215455177938111e+03,1.725364769412446321e+03,1.995850685765491789e+03,1.703640749187582912e+02,6.814000000000000000e+03
9.300000000000000000e+01,9.070000000000000000e+02,2.312631233893526144e+02,2.979355462028762247e+01,4.913494981131132809e+05,2.387183656420921125e+03,2.046045136596319480e+03,3.411385198246023265e+02,1.809220913256202437e+02,1.285000000000000000e+03,4.083362596130687052e+02,3.896785975153889581e+02,2.892908045221898647e+03,4.400383273027397991e+03,2.044420541320825805e+03,2.355962731706572868e+03,2.054392701427659063e+02,7.623000000000000000e+03
