num_ubers,num_cummters,total_Uber_naive_cost,total_Uber_scheduled_cost,total_Uber_distance,total_Uber_energy,total_Uber_naive_energy_charged,total_Uber_scheduled_energy_charged,total_Uber_naive_time_plugged_in,total_Uber_scheduled_time_plugged_in,total_Commuter_naive_cost,total_Commuter_scheduled_cost,total_Commuter_distance,total_Commuter_energy,total_Commuter_naive_energy_charged,total_Commuter_scheduled_energy_charged,total_Commuter_naive_time_plugged_in,total_Commuter_scheduled_time_plugged_in
1.020000000000000000e+02,8.980000000000000000e+02,1.992699373737290216e+02,3.267625574051963611e+01,4.305091921029851655e+05,2.190040686574493066e+03,1.821959876322619493e+03,3.680808102518740839e+02,1.686455030115022282e+02,1.797000000000000000e+03,4.714916620813482950e+02,4.082696737146081318e+02,2.516923165780950512e+03,5.118049300965551083e+03,2.373044226074312519e+03,2.745005074891237655e+03,2.225605827193974449e+02,1.038700000000000000e+04
9.500000000000000000e+01,9.050000000000000000e+02,2.603966073735858799e+02,3.515461618360130558e+01,4.810436451791864820e+05,2.194869862706738331e+03,1.897083649974045557e+03,2.977862127326926043e+02,1.721366065393406188e+02,2.028000000000000000e+03,4.104178218440736146e+02,4.528999370363812886e+02,2.762380976868420021e+03,4.623291665608407129e+03,2.127309203863282619e+03,2.495982461745125420e+03,2.013034735835838376e+02,1.075000000000000000e+04
8.600000000000000000e+01,9.140000000000000000e+02,2.033988995055167095e+02,7.323973982935918059e+01,4.331423525091186166e+05,2.065370277128741236e+03,1.645227104617702025e+03,4.201431725110397224e+02,1.584161786012339803e+02,1.117000000000000000e+03,4.423561588573234644e+02,2.784101243597940538e+02,2.048237614657336962e+03,4.316143894071317845e+03,2.385915573514494099e+03,1.930228320556823519e+03,2.167799934938036301e+02,7.387000000000000000e+03
8.600000000000000000e+01,9.140000000000000000e+02,2.572827358528781474e+02,7.586123721691120636e+01,4.204551168399204616e+05,2.007949320867521237e+03,1.564888856357498298e+03,4.430604645100228254e+02,1.435827033263617807e+02,1.406000000000000000e+03,4.846669914904536540e+02,5.781668905143302482e+02,2.398667059164961756e+03,4.567817744955304988e+03,2.030380126583021138e+03,2.537437618372282486e+03,1.936946857670414204e+02,3.898000000000000000e+03
8.900000000000000000e+01,9.110000000000000000e+02,1.761851994250071698e+02,4.087059179997831393e+01,4.259606986741076107e+05,2.084731706565369223e+03,1.715749262827665689e+03,3.689824437377035338e+02,1.564480549385910990e+02,1.566000000000000000e+03,4.218441487758830704e+02,3.190272970403359523e+02,1.980962403477495172e+03,4.273135330321460970e+03,2.192441113690596467e+03,2.080694216630864048e+03,2.047774482611995950e+02,7.794000000000000000e+03
8.600000000000000000e+01,9.140000000000000000e+02,1.789703748284748883e+02,5.250312422258770084e+01,3.903826805845971103e+05,1.947907214233112882e+03,1.556614732579911788e+03,3.912924816532014347e+02,1.321029847177442207e+02,1.319000000000000000e+03,3.745600603578336063e+02,3.584406968907639452e+02,2.840330113213513414e+03,4.020161089663671191e+03,1.923115351857237329e+03,2.097045737806433408e+03,1.747653934694726843e+02,8.209000000000000000e+03
9.400000000000000000e+01,9.060000000000000000e+02,2.512774441402538059e+02,2.587982960478624150e+01,4.019585664408745361e+05,2.015181677365668065e+03,1.796410482472119838e+03,2.187711948935480564e+02,1.667481535557465691e+02,2.610000000000000000e+02,4.623735188795000113e+02,5.049930765043175711e+02,2.686061276945037207e+03,4.688059290610895914e+03,2.062495530947531734e+03,2.625563759663362816e+03,2.095159171491567918e+02,7.652000000000000000e+03
9.800000000000000000e+01,9.020000000000000000e+02,2.997445459705764961e+02,5.472028937221097777e+01,4.780783119990502601e+05,2.368070724343851907e+03,2.032181940966732782e+03,3.358887833771190685e+02,1.864151099969005543e+02,1.324000000000000000e+03,5.166850392973309454e+02,3.835199086074816250e+02,2.535808668347887306e+03,4.086712201470561922e+03,2.228032584577038961e+03,1.858679616893521143e+03,2.231664314687481294e+02,3.773000000000000000e+03
1.000000000000000000e+02,9.000000000000000000e+02,2.339603230622335843e+02,8.956767304354542603e+01,4.572836599920883309e+05,2.493405205360199943e+03,1.916244407730460807e+03,5.771607976297381128e+02,1.736951624461171377e+02,2.136000000000000000e+03,3.950039326140689582e+02,3.471836435731012216e+02,1.587986100046429328e+03,3.732705625659589259e+03,1.808775251216922697e+03,1.923930374442663833e+03,1.707885152240336879e+02,5.909000000000000000e+03
1.010000000000000000e+02,8.990000000000000000e+02,2.356474600956017014e+02,4.529487568498711170e+01,5.311810913763686549e+05,2.204141683582052792e+03,1.899149470356175698e+03,3.049922132258753322e+02,1.724533132413127987e+02,6.200000000000000000e+02,3.845004629848025388e+02,3.244984189814053366e+02,1.957966310350376261e+03,4.061462677002325108e+03,1.860212435512649108e+03,2.201250241489674863e+03,1.705483775493345604e+02,1.000700000000000000e+04
