Date,Hour Ending,Location ID,Location Name,Location Type,Day Ahead,Real Time
8.8.2022,9,4479,LD.ASHBRNHM13.8,NETWORK NODE,130.12,123.84
8.8.2022,10,4479,LD.ASHBRNHM13.8,NETWORK NODE,140.59,170.25
8.8.2022,11,4479,LD.ASHBRNHM13.8,NETWORK NODE,167.7,205.37
8.8.2022,12,4479,LD.ASHBRNHM13.8,NETWORK NODE,176.01,248.78
8.8.2022,13,4479,LD.ASHBRNHM13.8,NETWORK NODE,178.14,295.34
8.8.2022,14,4479,LD.ASHBRNHM13.8,NETWORK NODE,247.88,365.72
8.8.2022,15,4479,LD.ASHBRNHM13.8,NETWORK NODE,250.13,248.87
8.8.2022,16,4479,LD.ASHBRNHM13.8,NETWORK NODE,252.66,165.84
8.8.2022,17,4479,LD.ASHBRNHM13.8,NETWORK NODE,280.56,258.11
8.8.2022,18,4479,LD.ASHBRNHM13.8,NETWORK NODE,298.53,274.41
8.8.2022,19,4479,LD.ASHBRNHM13.8,NETWORK NODE,290.3,323.91
8.8.2022,20,4479,LD.ASHBRNHM13.8,NETWORK NODE,249.57,292.7
8.8.2022,21,4479,LD.ASHBRNHM13.8,NETWORK NODE,230.48,277.97
8.8.2022,22,4479,LD.ASHBRNHM13.8,NETWORK NODE,162.02,216.21
8.8.2022,23,4479,LD.ASHBRNHM13.8,NETWORK NODE,113.41,139.78
8.8.2022,24,4479,LD.ASHBRNHM13.8,NETWORK NODE,94.77,110.79
8.9.2022,1,4479,LD.ASHBRNHM13.8,NETWORK NODE,132.62,105.81
8.9.2022,2,4479,LD.ASHBRNHM13.8,NETWORK NODE,117.66,108.47
8.9.2022,3,4479,LD.ASHBRNHM13.8,NETWORK NODE,103.45,140.22
8.9.2022,4,4479,LD.ASHBRNHM13.8,NETWORK NODE,90.82,128.96
8.9.2022,5,4479,LD.ASHBRNHM13.8,NETWORK NODE,90.27,148.95
8.9.2022,6,4479,LD.ASHBRNHM13.8,NETWORK NODE,100.94,314.34
8.9.2022,7,4479,LD.ASHBRNHM13.8,NETWORK NODE,145.27,240.03
8.9.2022,8,4479,LD.ASHBRNHM13.8,NETWORK NODE,132.97,205.83
8.9.2022,9,4479,LD.ASHBRNHM13.8,NETWORK NODE,116.46,288.77
8.9.2022,10,4479,LD.ASHBRNHM13.8,NETWORK NODE,133.17,162.71
8.9.2022,11,4479,LD.ASHBRNHM13.8,NETWORK NODE,137.68,130.51
8.9.2022,12,4479,LD.ASHBRNHM13.8,NETWORK NODE,167.22,274.33
8.9.2022,13,4479,LD.ASHBRNHM13.8,NETWORK NODE,178.43,343.53
8.9.2022,14,4479,LD.ASHBRNHM13.8,NETWORK NODE,244.37,286.31
8.9.2022,15,4479,LD.ASHBRNHM13.8,NETWORK NODE,250.62,226.02
